,y_lo,y_hi,h_lo,h_hi,result
388,13.9,14.0,18.0,19.0,unsafe
389,13.9,14.0,19.0,20.0,unsafe
390,13.9,14.0,20.0,21.0,unsafe
391,13.9,14.0,21.0,22.0,unsafe
392,13.9,14.0,22.0,23.0,unsafe
393,13.9,14.0,23.0,24.0,unsafe
394,13.9,14.0,24.0,25.0,unsafe
395,13.9,14.0,25.0,26.0,unsafe
396,13.9,14.0,26.0,27.0,unsafe
397,13.9,14.0,27.0,28.0,unsafe
398,13.9,14.0,28.0,29.0,unsafe
399,13.9,14.0,29.0,30.0,unsafe
400,14.0,14.1,10.0,11.0,unsafe
401,14.0,14.1,11.0,12.0,unsafe
402,14.0,14.1,12.0,13.0,unsafe
403,14.0,14.1,13.0,14.0,unsafe
404,14.0,14.1,14.0,15.0,unsafe
405,14.0,14.1,15.0,16.0,unsafe
406,14.0,14.1,16.0,17.0,unsafe
407,14.0,14.1,17.0,18.0,unsafe
408,14.0,14.1,18.0,19.0,unsafe
409,14.0,14.1,19.0,20.0,unsafe
410,14.0,14.1,20.0,21.0,unsafe
411,14.0,14.1,21.0,22.0,unsafe
412,14.0,14.1,22.0,23.0,unsafe
413,14.0,14.1,23.0,24.0,unsafe
414,14.0,14.1,24.0,25.0,unsafe
415,14.0,14.1,25.0,26.0,unsafe
416,14.0,14.1,26.0,27.0,unsafe
417,14.0,14.1,27.0,28.0,unsafe
418,14.0,14.1,28.0,29.0,unsafe
419,14.0,14.1,29.0,30.0,unsafe
420,14.1,14.2,10.0,11.0,unsafe
421,14.1,14.2,11.0,12.0,unsafe
422,14.1,14.2,12.0,13.0,unsafe
423,14.1,14.2,13.0,14.0,unsafe
424,14.1,14.2,14.0,15.0,unsafe
425,14.1,14.2,15.0,16.0,unsafe
426,14.1,14.2,16.0,17.0,unsafe
427,14.1,14.2,17.0,18.0,unsafe
428,14.1,14.2,18.0,19.0,unsafe
429,14.1,14.2,19.0,20.0,unsafe
430,14.1,14.2,20.0,21.0,unsafe
431,14.1,14.2,21.0,22.0,unsafe
432,14.1,14.2,22.0,23.0,unsafe
433,14.1,14.2,23.0,24.0,unsafe
434,14.1,14.2,24.0,25.0,unsafe
435,14.1,14.2,25.0,26.0,unsafe
436,14.1,14.2,26.0,27.0,unsafe
437,14.1,14.2,27.0,28.0,unsafe
438,14.1,14.2,28.0,29.0,unsafe
439,14.1,14.2,29.0,30.0,unsafe
440,14.2,14.3,10.0,11.0,unsafe
441,14.2,14.3,11.0,12.0,unsafe
442,14.2,14.3,12.0,13.0,unsafe
443,14.2,14.3,13.0,14.0,unsafe
444,14.2,14.3,14.0,15.0,unsafe
445,14.2,14.3,15.0,16.0,unsafe
446,14.2,14.3,16.0,17.0,unsafe
447,14.2,14.3,17.0,18.0,unsafe
448,14.2,14.3,18.0,19.0,unsafe
449,14.2,14.3,19.0,20.0,unsafe
450,14.2,14.3,20.0,21.0,unsafe
451,14.2,14.3,21.0,22.0,unsafe
452,14.2,14.3,22.0,23.0,unsafe
453,14.2,14.3,23.0,24.0,unsafe
454,14.2,14.3,24.0,25.0,unsafe
455,14.2,14.3,25.0,26.0,unsafe
456,14.2,14.3,26.0,27.0,unsafe
457,14.2,14.3,27.0,28.0,unsafe
458,14.2,14.3,28.0,29.0,unsafe
459,14.2,14.3,29.0,30.0,unsafe
460,14.3,14.4,10.0,11.0,unsafe
461,14.3,14.4,11.0,12.0,unsafe
462,14.3,14.4,12.0,13.0,unsafe
463,14.3,14.4,13.0,14.0,unsafe
464,14.3,14.4,14.0,15.0,unsafe
465,14.3,14.4,15.0,16.0,unsafe
466,14.3,14.4,16.0,17.0,unsafe
467,14.3,14.4,17.0,18.0,unsafe
468,14.3,14.4,18.0,19.0,unsafe
469,14.3,14.4,19.0,20.0,unsafe
470,14.3,14.4,20.0,21.0,unsafe
471,14.3,14.4,21.0,22.0,unsafe
